;Bergen;Stockholm;Benmore;Edinburgh;Dublin;Bedgebury;Munich;Salzburg;Geneva;Ljubljana;Podgorica;Pontevedra;Tirana;Cordoba
2014-04-27;12,09999973;12,03999973;10,15999977;9,509999787;11,13999975;10,83999976;9,279999793;8,869999802;9,309999792;13,3299997;10,58999976;11,94999973;13,2999997;17,8599996
2014-04-28;10,15999977;14,03999969;10,16999977;10,03999978;10,73999976;12,25999973;9,349999791;9,659999784;8,189999817;13,68999969;9,699999783;14,21999968;12,98999971;18,58999958
2014-04-29;8,589999808;9,509999787;10,58999976;10,43999977;10,65999976;11,62999974;10,56999976;9,579999786;9,689999783;13,84999969;8,819999803;14,11999968;12,26999973;19,97999955
2014-04-30;5,079999886;6,619999852;8,439999811;7,879999824;9,369999791;11,99999973;11,03999975;11,77999974;9,419999789;12,96999971;8,919999801;14,24999968;11,50999974;20,55999954
2014-05-01;5,019999888;3,789999915;6,139999863;5,449999878;11,97999973;10,93999976;12,37999972;12,45999972;10,19999977;12,64999972;9,469999788;14,78999967;12,90999971;21,01999953
2014-05-02;4,859999891;5,499999877;7,369999835;7,349999836;10,33999977;10,63999976;10,82999976;11,15999975;9,799999781;12,37999972;9,649999784;16,19999964;12,94999971;21,51999952
2014-05-03;4,329999903;5,659999873;6,25999986;4,409999901;11,08999975;8,119999819;5,069999887;5,629999874;9,459999789;11,74999974;8,869999802;16,50999963;13,01999971;20,33999955
2014-05-04;4,399999902;4,819999892;9,799999781;9,599999785;12,16999973;8,839999802;6,809999848;5,899999868;8,619999807;11,22999975;7,759999827;18,77999958;11,77999974;19,68999956
2014-05-05;6,009999866;5,869999869;9,599999785;9,809999781;11,46999974;11,54999974;9,239999793;9,059999797;11,35999975;11,16999975;8,639999807;15,71999965;10,15999977;20,97999953
2014-05-06;8,649999807;5,639999874;10,66999976;11,11999975;10,49999977;14,98999966;14,30999968;13,75999969;13,2899997;14,85999967;9,069999797;14,19999968;11,91999973;21,73999951
2014-05-07;8,259999815;6,129999863;8,48999981;8,339999814;10,70999976;13,3099997;11,31999975;10,90999976;12,43999972;12,89999971;9,959999777;16,73999963;12,32999972;21,90999951
2014-05-08;8,689999806;6,599999852;9,569999786;9,799999781;12,49999972;12,34999972;13,10999971;11,82999974;13,2199997;14,65999967;11,56999974;15,93999964;13,73999969;22,91999949
2014-05-09;8,129999818;8,259999815;10,09999977;10,74999976;11,52999974;13,82999969;13,98999969;12,91999971;15,18999966;16,88999962;12,40999972;18,18999959;14,09999968;23,95999946
2014-05-10;8,809999803;6,939999845;10,00999978;9,429999789;11,56999974;13,4999997;14,78999967;14,08999969;15,13999966;17,9799996;12,96999971;17,09999962;14,43999968;24,25999946
2014-05-11;10,13999977;8,05999982;9,729999783;10,02999978;10,61999976;11,55999974;11,67999974;9,749999782;12,08999973;11,05999975;13,2099997;15,66999965;15,53999965;25,37999943
2014-05-12;9,84999978;8,429999812;9,269999793;8,759999804;9,699999783;11,89999973;8,859999802;8,649999807;9,229999794;11,37999975;13,6399997;13,86999969;16,47999963;24,06999946
